Driver,LapNumber,Stint,PredictedNextLapTime,PreviousLapTimeSeconds,PreviousLapTimeRollingMean3,Recommendation,Reason
GAS,7.0,1.0,86.44890499999993,86.042,86.266,Keep going,No strong degradation signal detected.
HUL,22.0,2.0,86.84113500000011,85.735,85.72466666666666,Keep going,No strong degradation signal detected.
NOR,36.0,3.0,83.62689499999999,83.137,90.01566666666668,Keep going,No strong degradation signal detected.
HAM,52.0,3.0,83.17397000000003,82.737,82.47533333333332,Keep going,No strong degradation signal detected.
ALO,37.0,3.0,83.93235000000016,104.152,93.01133333333333,Keep going,No strong degradation signal detected.
OCO,18.0,1.0,86.69830000000006,86.002,86.45766666666667,Keep going,No strong degradation signal detected.
HAM,23.0,2.0,84.71182499999998,84.613,84.72266666666667,Keep going,No strong degradation signal detected.
BOT,4.0,1.0,87.28536499999997,86.918,90.55666666666669,Keep going,No strong degradation signal detected.
ALO,8.0,1.0,85.80512999999992,85.95,86.02633333333334,Keep going,No strong degradation signal detected.
PER,11.0,1.0,84.97454499999995,84.841,85.00133333333333,Keep going,No strong degradation signal detected.
HUL,50.0,3.0,84.20427499999997,83.404,85.17333333333333,Keep going,No strong degradation signal detected.
MAG,33.0,2.0,85.08593500000008,84.408,84.47966666666666,Keep going,No strong degradation signal detected.
ALO,19.0,2.0,84.78145499999995,84.882,84.69,Keep going,No strong degradation signal detected.
ALO,45.0,3.0,83.59757000000003,83.529,83.61566666666666,Keep going,No strong degradation signal detected.
STR,37.0,3.0,85.64268999999996,89.334,86.351,Keep going,No strong degradation signal detected.
PIA,14.0,1.0,88.26125999999998,84.67,84.555,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
OCO,3.0,1.0,86.77361499999998,86.837,91.1345,Keep going,No strong degradation signal detected.
SAI,13.0,1.0,87.59887499999996,85.276,85.00866666666666,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
ALO,25.0,2.0,84.82200499999999,84.588,85.01866666666666,Keep going,No strong degradation signal detected.
SAI,45.0,2.0,83.889255,83.931,83.854,Keep going,No strong degradation signal detected.
COL,44.0,2.0,84.98414999999997,85.979,85.13333333333333,Keep going,No strong degradation signal detected.
STR,28.0,2.0,84.94694000000005,84.437,84.557,Keep going,No strong degradation signal detected.
STR,3.0,1.0,86.82392500000014,88.342,92.076,Keep going,No strong degradation signal detected.
NOR,35.0,3.0,82.91114499999996,82.837,91.44133333333332,Keep going,No strong degradation signal detected.
OCO,19.0,1.0,86.73171000000008,86.234,86.31,Keep going,No strong degradation signal detected.
PIA,25.0,2.0,83.52422499999987,83.315,83.54066666666667,Keep going,No strong degradation signal detected.
STR,45.0,3.0,83.82778000000003,83.654,83.76233333333333,Keep going,No strong degradation signal detected.
PER,44.0,3.0,88.66492000000002,84.537,83.904,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
MAG,45.0,2.0,85.11706999999997,85.205,84.81266666666666,Keep going,No strong degradation signal detected.
SAI,5.0,1.0,85.22850499999991,85.086,85.39166666666667,Keep going,No strong degradation signal detected.
SAI,14.0,1.0,89.68225499999993,85.423,85.255,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
RIC,11.0,1.0,88.21985500000004,86.111,85.973,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
PER,35.0,2.0,84.10068999999997,83.611,83.63633333333333,Keep going,No strong degradation signal detected.
PER,29.0,2.0,84.17328500000002,83.598,83.78566666666667,Keep going,No strong degradation signal detected.
RIC,1.0,1.0,86.89589000000011,,,Keep going,No strong degradation signal detected.
RIC,17.0,2.0,85.37068000000008,85.398,85.599,Keep going,No strong degradation signal detected.
LEC,22.0,2.0,83.74672500000003,83.88,83.96966666666667,Keep going,No strong degradation signal detected.
VER,52.0,3.0,82.90186500000003,82.574,82.581,Keep going,No strong degradation signal detected.
PER,48.0,3.0,82.82022500000011,82.971,83.0,Keep going,No strong degradation signal detected.
SAI,26.0,2.0,83.677,83.687,83.97533333333332,Keep going,No strong degradation signal detected.
ZHO,26.0,2.0,88.48731000000011,85.583,85.895,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
ALB,24.0,2.0,85.13849999999998,85.132,85.015,Keep going,No strong degradation signal detected.
ALB,31.0,2.0,85.05850999999998,84.754,84.806,Keep going,No strong degradation signal detected.
VER,10.0,1.0,86.12394999999997,85.05,85.00333333333333,Keep going,No strong degradation signal detected.
ALB,11.0,1.0,86.35756,85.711,85.77999999999999,Keep going,No strong degradation signal detected.
COL,20.0,2.0,85.04551499999998,84.928,91.92066666666666,Keep going,No strong degradation signal detected.
OCO,5.0,1.0,86.04809999999998,86.297,86.53333333333332,Keep going,No strong degradation signal detected.
PIA,19.0,2.0,84.12921499999995,84.028,92.739,Keep going,No strong degradation signal detected.
RIC,49.0,2.0,84.55085999999997,84.518,84.99266666666666,Keep going,No strong degradation signal detected.
HUL,9.0,2.0,88.53275000000004,85.351,97.137,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
BOT,36.0,2.0,87.27729999999995,85.336,93.90733333333333,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
HAM,29.0,2.0,85.08783999999994,83.64,83.60266666666666,Consider pit window,Predicted next lap is noticeably slower than the previous lap.
VER,39.0,2.0,83.73051499999995,83.427,83.49033333333334,Keep going,No strong degradation signal detected.
